,Dates,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,Pays,numero
51,2019-Q4,0.2580113945704145,0.14783527167714325,0.10242398551237951,3.3964853178931005,5277.08,2629.496,9329.165,Hungary,10
0,2007-Q1,0.0,0.0,0.0,4.8522554665495,22.271906040999998,14.580330222999999,43.011931285,Ireland,11
1,2007-Q2,-0.012974288649925659,0.010210547772527693,0.012574766616046425,5.0744119906507805,22.377229077,14.300102364,43.291418156000006,Ireland,11
2,2007-Q3,-0.030622881863604005,0.016336650251450983,0.01700437049746911,4.91472528204999,22.597042498,13.418656977000001,43.15673487,Ireland,11
3,2007-Q4,0.009509438828111293,0.019645785405517705,0.022058202326275013,5.0768376169222496,22.821560854,12.835326814,44.890127616,Ireland,11
4,2008-Q1,-0.027497916178453905,0.017961815397501087,0.023926072502088128,5.406480646041629,23.148897069,14.620487000999999,41.883253714,Ireland,11
5,2008-Q2,-0.04797213722585777,0.010628484238693139,0.024185754878424493,6.1117376622893085,22.521599284,11.9343089,41.998198366,Ireland,11
6,2008-Q3,-0.04708311280892982,-0.002228164673200585,0.023966361979346075,7.28627109699792,22.613619456,12.000512658,41.913374834,Ireland,11
7,2008-Q4,-0.09104032306657008,-0.020833721160450087,0.015997543039860437,8.301487938598651,22.507233368,10.573609487,42.368650062,Ireland,11
8,2009-Q1,-0.09289067880348437,-0.05781948696829764,0.009244535406582483,11.1747969760163,21.81452845,10.616397361,44.318645151999995,Ireland,11
9,2009-Q2,-0.09523312512214711,-0.07611701203967106,0.003994521315591317,12.4443603516254,21.635591069,10.335182298,43.545566028,Ireland,11
10,2009-Q3,-0.10141099803924834,-0.09273990231247257,-0.00498149871458419,13.244073463308697,21.503835978,9.942903729,43.318810978,Ireland,11
11,2009-Q4,-0.11398381273305268,-0.10276559268870077,-0.0118627287032482,13.605292854256401,21.527136508,9.917960073,44.4197721,Ireland,11
12,2010-Q1,-0.09233610430179134,-0.11308637212891302,-0.020048380915707473,13.8857167593955,21.577442895999997,8.34379472,44.943945875,Ireland,11
