,Unnamed: 0,Dates,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,Pays,numero
2600,81,2010-Q1,1018.557,4480.89514736085,4921.27640283649,8.94851699900079,467.20099999999996,219.50400000000002,411.82199999999995,Sweden,22
2601,82,2010-Q2,1035.978,4510.424651380929,4938.77817015442,8.673269055939441,466.216,228.199,430.47,Sweden,22
2602,83,2010-Q3,1046.2,4541.01771417923,4969.33931074483,8.61928658482777,471.87699999999995,239.55599999999998,441.57099999999997,Sweden,22
2603,84,2010-Q4,1062.572,4562.462487079,4970.20611626426,8.20375693979741,475.61,242.924,453.94300000000004,Sweden,22
2604,85,2011-Q1,1070.888,4604.32430023128,5001.5248243667,7.94158857715382,477.973,239.585,458.671,Sweden,22
2605,86,2011-Q2,1072.494,4621.17943978874,5013.7973299062205,7.83074911655468,482.006,252.729,460.574,Sweden,22
2606,87,2011-Q3,1084.013,4635.25946100128,5020.69013607183,7.67684650166672,479.379,250.886,476.20599999999996,Sweden,22
2607,88,2011-Q4,1071.365,4642.8367989787,5033.78770965526,7.766535524068151,479.26599999999996,244.157,460.67199999999997,Sweden,22
2608,89,2012-Q1,1073.103,4645.78563332041,5036.38418645581,7.755535294265781,482.07300000000004,251.27599999999998,471.852,Sweden,22
2609,90,2012-Q2,1074.6660000000002,4655.19100171185,5054.00741973324,7.89109284771167,481.715,244.81400000000002,479.415,Sweden,22
2610,91,2012-Q3,1071.9089999999999,4660.67252482324,5071.07459399286,8.093000044917131,484.032,239.085,471.718,Sweden,22
2611,92,2012-Q4,1067.385,4666.85084014449,5081.533799818079,8.16058646876331,486.724,245.44799999999998,463.44699999999995,Sweden,22
2612,93,2013-Q1,1079.857,4680.50515747723,5094.815250985371,8.13199445118269,487.85900000000004,240.30900000000003,460.981,Sweden,22
2613,94,2013-Q2,1078.878,4695.31283286742,5108.08843128312,8.08082326624901,489.366,244.101,466.962,Sweden,22
2614,95,2013-Q3,1083.637,4712.410717162779,5122.27286463935,8.00156802082883,494.074,249.923,470.01800000000003,Sweden,22
2615,96,2013-Q4,1093.161,4729.77129249258,5140.92345309216,7.99763241664851,497.67400000000004,251.178,467.04900000000004,Sweden,22
2616,97,2014-Q1,1100.156,4736.83700499428,5150.723885201721,8.03550897761293,500.417,256.888,480.309,Sweden,22
2617,98,2014-Q2,1109.994,4759.40069656016,5171.8941143702505,7.9756740700465,507.009,259.067,485.73800000000006,Sweden,22
2618,99,2014-Q3,1117.492,4802.62871304133,5216.01653464654,7.92535489217392,506.48800000000006,261.986,489.181,Sweden,22
2619,100,2014-Q4,1127.138,4789.633585404221,5199.36546578149,7.88042085277185,512.077,268.095,493.73,Sweden,22
2620,101,2015-Q1,1142.319,4810.228327302971,5212.29830482998,7.71387119487054,519.306,272.157,502.05800000000005,Sweden,22
2621,102,2015-Q2,1153.89,4817.47810006707,5214.33123648029,7.61081562361763,522.606,277.862,506.033,Sweden,22
2622,103,2015-Q3,1169.104,4853.535553097329,5233.17875080194,7.25454290370723,528.581,277.362,519.727,Sweden,22
2623,104,2015-Q4,1177.58,4866.15801953263,5240.89170788779,7.1501894952565,532.881,287.152,525.95,Sweden,22
2624,105,2016-Q1,1178.187,4876.36006180438,5254.875016662029,7.20312002963845,536.505,284.795,521.624,Sweden,22
2625,106,2016-Q2,1177.637,4909.07347548177,5275.29189068272,6.942145056423629,534.448,291.812,515.844,Sweden,22
2626,107,2016-Q3,1181.89,4910.02267669234,5274.305197033879,6.90673949900367,539.935,289.712,524.136,Sweden,22
2627,108,2016-Q4,1191.425,4944.14378602151,5311.2278956213795,6.91147352013437,540.203,291.39599999999996,534.487,Sweden,22
2628,109,2017-Q1,1197.606,4990.43139007521,5355.58525883154,6.818187949751691,548.8240000000001,299.95099999999996,528.306,Sweden,22
2629,110,2017-Q2,1212.154,5008.69575664549,5371.09338825372,6.74718545018729,549.685,308.858,548.194,Sweden,22
2630,111,2017-Q3,1225.677,5039.4989107386,5402.05546043898,6.711455525688231,554.135,315.378,550.06,Sweden,22
2631,112,2017-Q4,1227.031,5047.97394254069,5404.56589247576,6.597975804708331,555.015,302.038,564.274,Sweden,22
2632,113,2018-Q1,1231.59,5080.71703677094,5426.68620623306,6.3753302902375,560.625,312.22700000000003,562.549,Sweden,22
2633,114,2018-Q2,1242.37,5092.5211263275605,5438.70725200851,6.365228162503071,563.832,315.57099999999997,561.831,Sweden,22
2634,115,2018-Q3,1237.787,5099.97830387316,5443.69199382154,6.313981216029191,561.646,307.404,571.596,Sweden,22
2635,116,2018-Q4,1250.731,5115.78353302834,5465.9145479369,6.4057169543699,562.644,308.278,592.384,Sweden,22
2636,117,2019-Q1,1253.9080000000001,5118.23095962655,5502.747687227939,6.98772230632819,564.383,303.453,594.235,Sweden,22
2637,118,2019-Q2,1256.93,5122.60972046823,5484.60292972916,6.6001716787691,568.066,297.371,604.7769999999999,Sweden,22
2638,119,2019-Q3,1262.631,5139.70184179019,5515.9641565662905,6.82133357099847,571.515,300.507,614.18,Sweden,22
2639,120,2019-Q4,1258.808,5145.65747811502,5528.08522647662,6.91790615907954,571.559,304.89599999999996,587.81,Sweden,22
2640,1,1990-Q1,113.31745265299999,,,,60.062470309,29.411896166,42.055887559,Switzerland,23
2641,2,1990-Q2,113.978585321,,,,60.06922976,29.494133788000003,43.602856357,Switzerland,23
2642,3,1990-Q3,113.561986474,,,,60.319090564,29.402856275999998,41.188452073,Switzerland,23
2643,4,1990-Q4,113.07118699200001,,,,60.739437906999996,29.166747038,41.371460131,Switzerland,23
2644,5,1991-Q1,113.236240645,,,,61.009592141999995,29.335748118,42.759403305999996,Switzerland,23
2645,6,1991-Q2,112.15416412,,,,61.357522138,29.354072231999996,40.733640262,Switzerland,23
2646,7,1991-Q3,112.154298994,,,,61.395392996999995,28.768051588000002,40.952752219000004,Switzerland,23
2647,8,1991-Q4,112.55237384,,,,61.803692028,27.800250609000003,41.076101941,Switzerland,23
2648,9,1992-Q1,113.402165949,,,,61.756651663999996,27.185620116,43.192663756,Switzerland,23
2649,10,1992-Q2,112.94978034399999,,,,61.76830649,27.110239994,43.40200293,Switzerland,23
2650,11,1992-Q3,111.799687902,,,,61.593852068000004,25.840941601,42.555726541,Switzerland,23
2651,12,1992-Q4,110.94377648700001,,,,61.584955945,25.59024264,42.460264473,Switzerland,23
2652,13,1993-Q1,110.771709694,,,,61.297467323,25.327369323000003,44.143046756000004,Switzerland,23
2653,14,1993-Q2,111.996036533,,,,61.33883421,25.602313476,42.670963248,Switzerland,23
2654,15,1993-Q3,112.393556269,,,,61.597134533,25.473613741999998,41.128911400999996,Switzerland,23
2655,16,1993-Q4,113.062567961,,,,61.559673831000005,25.868692543,42.440905971999996,Switzerland,23
2656,17,1994-Q1,113.623647847,,,,61.960376635,25.795753712,43.171332726,Switzerland,23
2657,18,1994-Q2,112.447137645,,,,62.09327739,26.36991732,42.407648998,Switzerland,23
2658,19,1994-Q3,113.65516230600001,,,,62.287354428,26.877663273000003,42.616312794,Switzerland,23
2659,20,1994-Q4,114.218580234,,,,62.552880228,27.120859974000002,44.783846048,Switzerland,23
2660,21,1995-Q1,113.71530497299999,,,,62.473574449,28.025577776,44.600532914,Switzerland,23
2661,22,1995-Q2,113.872110045,,,,62.728046207,27.95823444,44.524332734,Switzerland,23
2662,23,1995-Q3,114.48248476,,,,62.948689373,27.600534611999997,44.212306255,Switzerland,23
2663,24,1995-Q4,114.482169635,,,,63.01311009,28.068912278000003,44.941978512,Switzerland,23
2664,25,1996-Q1,115.072257042,,,,63.452184816999996,27.813915618000003,46.048094685,Switzerland,23
2665,26,1996-Q2,114.675512863,,,,63.602617654,27.625318958,44.643471358,Switzerland,23
2666,27,1996-Q3,114.35232988,,,,63.766761196000004,27.497659706,45.543569491999996,Switzerland,23
2667,28,1996-Q4,114.99800305,,,,63.985933904,27.445419126999997,47.260472824,Switzerland,23
2668,29,1997-Q1,115.980103805,,,,64.34677166,27.831934123000003,50.53722026,Switzerland,23
2669,30,1997-Q2,116.55405602200001,,,,64.830826944,28.550824196,51.789737717,Switzerland,23
2670,31,1997-Q3,118.018605924,,,,65.141619748,28.803355096999997,52.766859958000005,Switzerland,23
2671,32,1997-Q4,118.82035642,,,,65.709814157,29.280186967,55.719453972,Switzerland,23
2672,33,1998-Q1,120.024283484,,,,65.953756873,30.007424991999997,53.720576898000004,Switzerland,23
